,Star_name,Sp_T,V,B_V,Name,Model,STIS,Var_(%),RA,Decl,Vr,PM,PM.1,Simbad_Name,Alt_Simbad_Name,Astroquery_Name,Alt_Star_name,HD_name,GAIA_ED3_Name
33,GD71,DA1.5,13.032,-0.25,gd71,_mod_012,_stiswfcnic_004,<1.90,05 52 27.620,+15 53 13.23,30.0,76.73,-172.96,WD0549+158,,GD 71,,,3.348071631670501e+18
34,GJ754.1A,DBQA5,12.29,0.05,gj7541a,_mod_001,_stis_004,,19 20 34.923,-07 40 00.07,,-61.28,-161.77,LAWD74,WD1917-077,LAWD 74,,,4.2017816969940736e+18
35,GRW+70 5824,DA2.4,12.60,-0.06,grw_70d5824,_mod_001,_stiswfcnic_003,,13 38 50.478,+70 17 07.64,26.0,-402.08,-24.56,LAWD52,WD1337+705,LAWD 52,,,1.686708050268595e+18
36,HD009051,G7III,8.92,0.81,hd009051,_mod_004,_stis_007,,01 28 46.503,-24 20 25.44,-72.0,53.56,-17.03,,,HD   9051,,HD9051,5.040300909638155e+18
37,HD031128,F4V,9.14,0.41,hd031128,_mod_003,_stis_006,,04 52 09.910,-27 03 50.94,112.0,164.76,-26.52,,,HD  31128,,HD31128,4.881345510044486e+18
38,HD074000,sdF6,9.66,0.45,hd074000,_mod_003,_stis_006,,08 40 50.804,-16 20 42.51,206.0,350.82,-484.16,,,HD  74000,,HD74000,5.709390701922941e+18
39,HD101452,A2/3,8.20,-0.36,hd101452,_mod_003,_stis_003,<0.09,11 40 13.651,-39 08 47.67,,-34.17,-20.98,,,HD 101452,,HD101452,5.384905720847544e+18
40,HD106252,G0,7.36,0.64,hd106252,_mod_006,_stis_008,,12 13 29.510,+10 02 29.89,16.0,22.86,-280.01,,,HD 106252,,HD106252,3.9056030543481416e+18
41,HD111980,F7V,8.38,0.53,hd111980,_mod_003,_stis_006,,12 53 15.053,-18 31 20.01,155.0,299.49,-796.09,,,HD 111980,,HD111980,3.510294882898891e+18
42,HD115169,G3V,9.20,0.69,hd115169,_mod_003,_stis_003,<0.11,13 15 47.388,-29 30 21.18,21.2,-110.57,-82.09,,,HD 115169,,HD115169,6.182594053814896e+18
43,HD116405,A0V,8.34,-0.07,hd116405,_mod_004,_stis_006,<0.10,13 22 45.124,+44 42 53.91,-19.0,8.01,-10.29,,,HD 116405,,HD116405,1.5505445302864558e+18
44,HD128998,A1V,5.83,0.00,hd128998,_mod_003,_stis_003,0.05,14 38 15.222,+54 01 24.02,-3.0,17.28,-18.99,HR 5467,,HD 128998,,HD128998,1.6067798084023122e+18
45,HD142331,G5V,8.75,0.64,hd142331,_mod_005,_stis_005,,15 54 19.788,-08 34 49.37,-70.8,-105.98,-23.73,,,HD 142331,,HD142331,4.3479604278642806e+18
46,HD14943,A5V,5.91,0.19,hd14943,_mod_003,_stis_005,0.05,02 22 54.675,-51 05 31.66,5.0,22.33,66.38,HR 701,,HD  14943,,HD14943,4.746011090546864e+18
47,HD158485,A4V,6.50,0.13,hd158485,_mod_003,_stis_005,0.42,17 26 04.837,+58 39 06.83,-30.0,-9.1,14.67,HR 6514,,HD 158485,,HD158485,1.434752727380966e+18
48,HD159222,G1V,6.56,0.65,hd159222,_mod_006,_stis_008,,17 32 00.992,+34 16 16.13,-52.0,-240.7,63.71,HR 6538,,HD 159222,,HD159222,1.3358804155642532e+18
49,HD160617,F,8.73,0.45,hd160617,_mod_002,_stis_005,,17 42 49.324,-40 19 15.51,100.0,-62.39,-393.23,,,HD 160617,,HD160617,5.957698605530828e+18
50,HD163466,A6V,6.85,0.19,hd163466,_mod_003,_stis_005,0.17,17 52 25.376,+60 23 46.94,-16.0,-2.73,42.67,,,HD 163466,,HD163466,1.435190745326634e+18
51,HD165459,A4V,6.86,0.13,hd165459,_mod_004,_stisnic_006,,18 02 30.741,+58 37 38.16,-19.2,-13.06,24.61,,,HD 165459,,HD165459,2.152139190687051e+18
52,HD167060,G3V,8.92,0.64,hd167060,_mod_005,_stis_005,<0.09,18 17 44.143,-61 42 31.62,15.2,88.52,-145.15,,,HD 167060,,HD167060,6.634011506225361e+18
53,HD172728,A0V,5.74,-0.05,hd172728,_mod_002,_stis_002,,18 37 33.517,+62 31 35.67,-10.5,-8.98,49.58,,,HD 172728,,HD172728,2.1600779395175327e+18
54,HD180609,A0V,9.42,0.15,hd180609,_mod_004,_stis_006,<0.13,19 12 47.200,+64 10 37.17,,-3.06,-7.79,,,HD 180609,,HD180609,2.254144423451326e+18
55,HD185975,G3V,8.10,0.68,hd185975,_mod_004,_stis_007,,20 28 18.740,-87 28 19.94,-19.0,169.76,-56.99,,,HD 185975,,HD185975,6.34234635882263e+18
56,HD200654,G,9.11,0.63,hd200654,_mod_004,_stis_007,,21 06 34.751,-49 57 50.28,-45.0,193.94,-273.89,,,HD 200654,,HD200654,6.477295296414847e+18
57,HD200775,B2Ve,7.43,0.33,hd200775,,_stis_001,,21 01 36.921,+68 09 47.79,-3.4,7.6,-2.82,,,HD 200775,,HD200775,2.2702454312096118e+18
58,HD205905,G2V,6.74,0.62,hd205905,_mod_007,_stis_009,0.26,21 39 10.151,-27 18 23.67,-17.0,384.1,-83.96,,,HD 205905,,HD205905,6.810896745007525e+18
59,HD209458,G0V,7.65,0.59,hd209458,_mod_003,_stisnic_008,,22 03 10.773,+18 53 03.55,-15.0,29.58,-17.89,,,HD 209458,,HD209458,1.7795467576690637e+18
60,HD2811,A3V,7.50,0.17,hd2811,_mod_004,_stis_004,,00 31 18.490,-43 36 23.00,,-6.02,-4.18,,,HD   2811,,HD2811,4.992412432308644e+18
61,HD37725,A3V,8.31,-0.19,hd37725,_mod_005,_stiswfc_004,0.13,05 41 54.370,+29 17 50.96,,15.05,-26.93,,,HD  37725,,HD37725,3.4442125848034263e+18
62,HD37962,G2V,7.85,0.65,hd37962,_mod_008,_stis_010,<0.09,05 40 51.966,-31 21 03.99,3.0,-59.65,-365.23,,,HD  37962,,HD37962,2.902205991429302e+18
63,HD38949,G1V,7.80,0.57,hd38949,_mod_005,_stis_007,1.17,05 48 20.059,-24 27 49.85,3.0,-30.44,-35.42,,,HD  38949,,HD38949,2.9155234824247245e+18
64,HD55677,A4V,9.41,0.06,hd55677,_mod_004,_stis_004,0.24,07 14 31.290,+13 51 36.79,-2.0,-2.66,-6.81,,,HD  55677,,HD55677,3.1672121393831613e+18
65,HD60753,B3IV,6.68,-0.09,hd60753,,_stis_004,,07 33 27.319,-50 35 03.31,20.0,-3.12,5.31,,,HD  60753,,HD60753,5.493730399606077e+18
66,HD93521,O9Vp,6.99,-0.27,hd93521,_mod_003,_stis_007,,10 48 23.512,+37 34 13.09,-14.0,0.22,1.72,,,HD  93521,,HD93521,7.750297390765812e+17
67,HS2027+0651,DO,16.9,...,hs2027,,_stis_006,,20 29 32.506,+07 01 07.70,,9.24,1.53,WD2027+0651,,HS 2027+0651,,,1.748833236082347e+18
68,HZ21,DO2,14.69,-0.33,hz21,,_stis_007,,12 13 56.264,+32 56 31.36,,-100.88,30.13,WD1211+332,,HZ 21,,,4.016474027321257e+18
69,HZ43,DA,12.91,-0.31,hz43,,_stis_005,,13 16 21.853,+29 05 55.38,54.0,-157.96,-110.23,WD1314+293,,HZ 43A,,,1.4618339049320264e+18
70,HZ43B,M3Ve,14.30,...,hz43b,,_stis_005,,13 16 21.495,+29 05 53.07,,,,,,HZ 43B,,,1.4618339049305958e+18
71,HZ44,sdB,11.65,-0.23,hz44,,_stis_006,,13 23 35.263,+36 07 59.55,,-66.27,-4.52,WD1321+364,,HZ 44,,,1.4736876710718034e+18
72,HZ4,DA3.4,14.51,0.09,hz4,,_stis_008,,03 55 21.988,+09 47 18.13,46.0,173.27,-5.51,WD0352+096,,HZ  4,,,3.3028460727178685e+18
73,KF06T2,K1.5III,13.80,1.30,kf06t2,_mod_006,_stiswfcnic_005,,17 58 37.995,+66 46 52.11,,0.62,-4.42,2MASS J17583798+6646522,[RMC2005] KF06T2,2MASS J17583798+6646522,,,1.6333762044071245e+18
74,KF08T3,K0.5III,13.18,1.21,kf08t3,_mod_005,_stisnic_004,,17 55 16.216,+66 10 11.61,-50.0,2.09,-6.39,2MASS J17551622+6610116,[RMC2005] KF08T3,UCAC3 313-62260,,,1.6332946343885084e+18
75,KSI2 CETI,B9III,4.28,-0.04,ksi2ceti,_mod_004,_stis_006,,02 28 09.557,+08 27 36.22,12.0,23.71,-4.79,,,* KSI02 CET,,HD15318,2.274591057713485e+16
76,LAMBDA LEP,B0.5V,4.29,-0.25,lamlep,_mod_005,_stis_007,0.35,05 19 34.524,-13 10 36.44,20.0,-3.3,-4.91,,,* LAM LEP,,HD34816,2.988329637719193e+18
77,LDS749B,DBQ4,14.674,-0.04,lds749b,_mod_007,_stisnic_008,,21 32 16.233,+00 15 14.40,-81.0,413.23,27.27,LAWD87,WD2129+000,LAWD 87,,,2.68773391328387e+18
78,MU COL,O9.5V,5.18,-0.28,mucol,_mod_005,_stis_007,0.12,05 45 59.895,-32 18 23.16,109.0,2.99,-22.03,,,* MU. COL,,HD38666,2.901155648586892e+18
79,NGC2506-G31,G1V,17.9,0.7,ngc2506g31,_mod_003,_stis_003,,,,,,,,,,,,3.038045185547144e+18
80,NGC6681-1,...,15.77,0.18,ngc6681_1,,_stis_002,,18 43 13.319,-32 17 25.36,218.7,,,,,M  70,,,6.73689734474443e+18
81,NGC6681-2,...,16.20,0.05,ngc6681_2,,_stis_002,,18 43 13.165,-32 17 25.82,218.7,,,,,M  70,,,6.736897344730729e+18
82,NGC6681-3,...,16.90,0.03,ngc6681_3,,_stis_002,,18 43 13.041,-32 17 25.41,218.7,,,,,M  70,,,6.736897344744401e+18
83,NGC6681-4,...,16.14,0.04,ngc6681_4,,_stis_002,,18 43 12.893,-32 17 26.43,218.7,,,,,M  70,,,6.736897344744401e+18
84,NGC6681-5,...,16.37,0.03,ngc6681_5,,_stis_002,,18 43 12.872,-32 17 26.56,218.7,,,,,M  70,,,6.736897344744401e+18
85,NGC6681-6,...,16.20,0.04,ngc6681_6,,_stis_002,,18 43 12.755,-32 17 25.69,218.7,,,,,M  70,,,6.736897344730722e+18
86,NGC6681-7,...,16.05,1.24,ngc6681_7,,_stis_002,,18 43 12.639,-32 17 27.09,218.7,,,,,M  70,,,6.736897344730687e+18
87,NGC6681-8,...,17.01,-0.01,ngc6681_8,,_stis_002,,18 43 12.278,-32 17 27.51,218.7,,,,,M  70,,,6.736897344730695e+18
88,NGC6681-9,...,15.80,0.18,ngc6681_9,,_stis_002,,18 43 12.199,-32 17 27.11,218.7,,,,,M  70,,,6.736897344744421e+18
89,NGC6681-10,...,19.14,-0.14,ngc6681_10,,_stis_002,,18 43 12.146,-32 17 26.58,218.7,,,,,M  70,,,6.736897344744421e+18
90,NGC6681-11,...,15.65,0.22,ngc6681_11,,_stis_002,,18 43 12.049,-32 17 27.52,218.7,,,,,M  70,,,6.736897344744419e+18
91,NGC6681-12,...,17.62,-0.08,ngc6681_12,,_stis_002,,18 43 11.902,-32 17 27.91,218.7,,,,,M  70,,,6.736897344744399e+18
92,P041C,GOV,12.16,0.68,p041c,_mod_004,_stisnic_009,<0.44,14 51 57.980,+71 43 17.39,-22.0,-49.32,19.58,2MASS J14515797+7143173,GSPC P 41-C,TYC 4413-304-1,,,1.6984682849045742e+18
93,P177D,G0V,13.49,0.60,p177d,_mod_005,_stisnic_010,<1.00,15 59 13.579,+47 36 41.91,,-7.9,1.57,2MASS J15591357+4736419,GSPC P177-D,GSPC P177-D,,,1.3995592499615698e+18
94,P330E,G2V,12.92,0.64,p330e,_mod_007,_stiswfcnic_006,<0.76,16 31 33.813,+30 08 46.40,-53.0,-8.99,-38.77,2MASS J16313382+3008465,GSPC P330-E,GSC 02581-02323,,,1.3120549263037368e+18
95,SDSS132811,DA,g=17.01,...,sdss132811,,_stis_004,,13 28 11.498,+46 30 50.94,,-130.86,-30.8,SDSS J132811.45+463050.8,WD1326+467,SDSS J132811.45+463050.8,,,1.551861813935665e+18
96,SDSSJ151421,DA1.8,16.5,0.89,sdssj151421,_mod_004,_stis_005,,15 14 21.273,+00 47 52.81,12.0,4.4,-27.04,SDSS J151421.27+004752.8,LB769 WD1511+009,LB   769,,,4.4198651554220334e+18
97,SF1615+001A,G,16.75,0.49,sf1615_001a,_mod_005,_stisnic_010,,16 18 14.240,+00 00 08.61,,2.4,-10.94,2MASS J16181422+0000086,[B2010] SF1615+001A,SDSS J161814.23+000008.6,,,4.408086362237875e+18
98,SIGMA ORI,O9.5V+B0.2V,3.79,-0.21,sigori,,_stis_001,,05 38 44.765,-02 36 00.28,29.9,4.6,-0.4,,,* SIG ORI,,HD37468,3.216486443742786e+18
